Principles,Controllability,Foundational,Personal Data,Agency,User,Portability,Sustainability,Security,Usability,Flexibility,Autonomy,Technology,Operability,Zero-cost,Acceptance,Clustering
Interoperability,,,,,,2.0,,,1.0,2.0,1.0,1.0,,,,2
Control,3.0,2.0,,1.0,1.0,,,,,,,,,,,1
Business models,,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,0
Minimization,1.0,,1.0,,,,,3.0,,,,,,,,3
Transparency,,,,,,2.0,2.0,1.0,1.0,,,,,,,0
Persistence,5.0,1.0,1.0,,,,,1.0,,,,,,,,1
Portability,,,1.0,,,2.0,,,,2.0,1.0,1.0,,,,2
Existence,2.0,3.0,1.0,1.0,,,,,,,,,,,,4
Consent,3.0,1.0,1.0,,,,,,,,,,,,,1
Access,1.0,3.0,,1.0,,2.0,,,,,,,,,,4
Standards,,,,,,,2.0,,,,,,,,,0
Protection,,,1.0,,,,,4.0,,,1.0,,,,,3
